EST_NUM1,NAME1,NAME21,ADB_NAME1,MAIL_11,MAIL_21,MAIL_31,MAIL_CITY1,MAIL_PROV1,MAIL_PC1,LOC_ADD11,LOC_ADD21,LOC_ADD31,LOC_CITY1,LOC_PROV1,LOC_PC1,TELE_11,TELE_21,TELE_31,CODES_11,CODES_21,CODES_31,CODE_41,CODE_51,CODES_61,CODE_71,CODE_81,CODES_91,CODES_101,EXPORT1,TRICHINA1,POUTRY_SPC1,OTHERS_SPC1,HACCP_REG1,EP_NUM1,LASTUPDT1,LICENCE_NO1,LICENCE_IS1,LICENCE_EX1
784,6625844 MANITOBA LTD.,,CENTERPORT COLD STORAGE,"P.O. BOX 51070, TYNDALL PARK",,,WINNIPEG,MB,R2X 3C6,"86, BERGEN CUT-OFF ROAD",,,ROSSER,MB,R0H 1E0,(204) 985-5260,(204) 632-7931/F,,,,x,,,x,,,BC/US,," DAIH",,,,,EP2545,2019-10-18,784-2545-17393,2018-02-02,2019-03-31
527,APETITO HFS LIMITED,,,,,,,,,1010 DAIRY DRIVE,,,OTTAWA,ON,K4A3N3,(905)799-1022 x 288,,,,,,,,"f,x",,,,,D,,,,,,2020-09-14 14:33:59.118307200,,,
528,333 MEAT CORPORATION,,333 MEAT PRODUCTS CORPORATION;THE TRIPE FACTORY CORPORATION,,,,,,,95 MILLIKEN BOULEVARD,,,TORONTO,ON,M1V 1V3,(416) 335-9338,(416) 335-9411/F,(416) 335-9338/I,,,,,,x,,,,,AD,,,,,EP1027,2018-02-26,528-1027-17766,2018-02-26,2019-03-31
529,LET'S PASTA FOOD SERVICES LTD.,,LET'S PASTA,,,,,,,1510 - 36 STREET NORTH,,,LETHBRIDGE,AB,T1H 5H8,(403) 328-8288,,,,,,,,FX,,,,,,,,,,,2020-04-06 08:31:23.237682100,,,
825,OGGI FOODS INC,,ALIMENTS OGGI INC./ OGGI FOODS INC.,,,,,,,8790 RUE CHAMP D'EAU,,,SAINT-LÉONARD,QC,H1P2Y8,(514)852-6444,,,,,,,,X,,,,,,,,,,EP2598,2026-07-22 09:04:33.3989017,825-2598-18003,2018-06-20,2019-03-31
380,165368 CANADA INC.,,PRODUITS ALIMENTAIRES LONG PHUNG : PHU HUONG : ENTREPRISES PHAYNAM,,,,,,,"1760, RUE CENTRALE",,,SAINTE-CATHERINE,QC,J5C 1G5,(450) 638-6933,(450) 638-6941/F,,,,,,,x,,,,,A,,,,,EP1377,2018-02-26,380-1377-17777,2018-02-26,2019-03-31
381,PLANWAY POULTRY INC.,,,,,,,,,26 CANMOTOR AVENUE,,,TORONTO,ON,M8Z 4E5,(416) 252-7676,(416) 252-0683/F,,,,f,,,f,,,,,DV,,,,,EP1896,2018-02-26,381-1896-17776,2018-02-26,2019-03-31
816,ITALIA ALIMENTARI CANADA LTD.,,,,,,,,,25 PRECIDIO CRT,,,BRAMPTON,ON,L6S6B7,(905)793-4443,,,,,,,,,Y,,,,,,,,,EP2588,2025-08-18 12:19:21.9327979,816-2588-17846,2018-03-05,2019-03-31
832,AU P'TIT MARCHE TRAITEUR INC.,,AU P'TIT MARCHE,200-535 SAMUEL-DE CHAMPLAIN,,,BOUCHERVILLE,QC,J4B 6B6,101 DE LA BARRE,,,BOUCHERVILLE,QC,J4B 2X6,(450) 641-3032/T,(450) 641-0437/F,,,,,,,fx,,,,,,,,,,EP2605,2019-06-19,832-2605-18039,2019-06-19,2020-03-31
657,BERETTA FARMS LTD.,,CANADIAN PREMIUM MEATS,,,,,,,3401 - 53RD AVE.,,,LACOMBE,AB,T4L2L6,587-784-8449,,,"a,h,i",,x,,,x,,,,,ACDHLMRSV,,,,,,2020-07-02 08:08:44.157463800,,,
224,SOFINA FOODS INC./ALIMENTS SOFINA INC.,,SANTA MARIA FOODS ULC,100 COMMERCE VALLEY DRIVE WEST,,,MARKHAM,ON,L3T 0A1,350 BELL BOULEVARD,,,BELLEVILLE,ON,K8P 5H8,(613) 968-3531,(613) 968-3532/F,,,,,,,x,,,,,AD,,,,,EP1235,2018-02-05,224-1235-17416,2018-02-05,2019-03-31
130,GESTION J.-F. HOULE INC.,,"GROUPE OMC, Ô METS CHINOIS (2016) INC.",,,,,,,85 RUE FISHER,,,MONT-SAINT-HILAIRE,QC,J3H 0L8,(514)236-4491,,,,,"f,x",,,"f,x",,,"B,C/US",,D,,,,,,2023-06-16 07:39:46.318516200,,,
462,PLAISIRS GASTRONOMIQUES INC.,,,3740 RUE LA VÉRENDRYE,,,BOISBRIAND,QC,J7H 1R5,3735 RUE LA VÉRENDRYE,,,BOISBRIAND,QC,J7H 1R8,(450) 433-0189,(450) 437-5852/F,,,,,,,fx,,,,,,,,,,EP2228,2018-02-26,462-2228-17748,2018-02-26,2019-03-31
945,9200-6774 QUÉBEC INC.,,,,,,,,,55 BOULEVARD MONTPELLIER,,,SAINT-LAURENT,QC,H4N2G3,(514)739-7328,,,,,,,,fx,,,,,,,,,,,2022-04-07 09:33:35.148866100,,,
915,LES VIANDES LACROIX INC.,,,4120 BOULEVARD CASAVANT OUEST,,,SAINT-HYACINTHE,QC,J2S 8E3,"925 RUE DE L'INDUSTRIE, SUITE 101",,,BELOEIL,QC,J3G 0S5,(450)778-0188,,,,,F,,,,,,,,D,,,,,,2021-07-16 12:35:27.831176500,,,
916,HELLOFRESH CANADA INC.,,,,,,,,,3311 MOUNT LEHMAN ROAD,,,ABBOTSFORD,BC,V4X 2M9,(647)632-3036,,,,,,,,,Y,,,,,,,,,,2021-06-17 11:13:33.335331700,,,
918,VIVA DELI INC.,,,,,,,,,"5220 DUNCAN AVE, BAY 3 & 4",,,BLACKFALDS,AB,T0M0J0,(403)896-6184,,,,,,,,xf,,,,,,,,,,,2021-06-21 07:24:36.905123400,,,
917,WINONA'S HARVEST LTD.,,,,,,,,,65 MILLBURN ROAD,,,HAMILTON,ON,L8E 3A3,(905)537-1215,,,,,,,,"x, f",,,,,,,,,,,2021-06-17 14:21:15.212205200,,,
919,APPROVED COLD STORAGE INC.,,,,,,,,,5100 HARVESTER ROAD,,,BURLINGTON,ON,L7L 4X4,(416) 799-7166,,,,,X,,,X,Y,,B/US,,CD,,,,,,2025-01-27 14:09:09.0540521,,,
920,"PENELOPE DE WAAL, KHOSRO FARBOUD",,,,,,,,,3880 TELEGRAPH ROAD,,,COBBLE HILL,BC,V0R1L4,(250)217-9899,,,,,,,,"f,x",,,,,,,,,,,2021-06-24 12:43:22.993331700,,,
S888,LOBLAWS INC.,,,,,,,,,350 SE MARINE DRIVE,,,VANCOUVER,BC,V5X2S5,(236) 858-6873,,,,,,,,,,,,B,,,,,,,2023-08-24 13:40:00.316012500,,,
913,ALIYA'S FOODS LIMITED,,,,,,,,,3850 13TH STREET,,,NISKU,AB,T9E1C6,(780)964-2266,,,,,,,,FX,,,B/US,,ADH,,,,,,2026-07-28 16:09:07.7494842,,,
S889,AF COLD STORAGE,,,131 EAST DRIVE,,,BRAMPTON,ON,L6T1B5,292123 CROSSPOINTE DRIVE,,,ROCKY VIEW,AB,T4A0T5,,,,,,,,,,,,BCUS,A,,,,,,,2026-06-02 13:03:49.2793983,,,
921,CREATIVE FOOD BRANDS INC.,,,,,,,,,55 TORLAKE CRESCENT,,,TORONTO,ON,M8Z 1B4,(416)253-2200,,,,,,,,F,,,,,D,,,,,,2021-07-30 11:06:58.638570200,,,
S890,ENTREPOT FRIGORIFIQUE DESLAURIERS INC.,,,,,,,,,"2335, CH. DE LA PETITE-COTE",,,LAVAL,QC,H7L5Z4,(514)975-6811,,,,,,,,,,,,AB,,,,,,,2021-07-12 08:38:20.891978000,,,
S891,NOVA COLD LOGISTICS ULC,,,,,,,,,635 WILKINSON AVE,,,DARTMOUTH,NS,B3B 0H4,(902)452-7940,,,,,,,,,,,,A,,,,,,,2021-08-12 12:02:06.474572400,,,
923,PIXTAR CANADA INC.,,,,,,,,,3249 LENSWORTH DRIVE,,,MISSISSAUGA,ON,L4X 3B9,(905)877-0303,,,,,f,,,,,,,,D,,,,,,2021-09-29 09:06:07.816795200,,,
S893,ADVANTECH SUPPLY CHAIN SOLUTIONS INC.,,,4545 STEELES AVENUE WEST,,,TORONTO,ON,M9L 1X2,10 GARY RAY DRIVE,,,NORTH YORK,ON,M9L 1P1,(416)201-8755,,,,,,,,,,,,A,,,,,,,2021-09-02 13:17:29.962690800,,,
881,SOFINA FOODS INC./ ALIMENTS SOFINA INC.,,,2126 HURST RD,,,CALGARY,AB,T2G4M5,6202 106 AVE SE,,,CALGARY,AB,T2C5N6,(403)605-4406,,,fi,,f,,,,,,,,D,,,,,,2021-09-29 09:05:12.182886200,,,
925,BLUE DANUBE SAUSAGE HOUSE LIMITED,,,,,,,,,3090 LENWORTH DRIVE,,,MISSISSAUGA,ON,L4X2G1,(905)624-9910,,,,,fgx,,,fgx,,,,,,,,,,,2021-09-15 10:54:21.454304100,,,
S894,MAINLINER FREIGHTWAYS LTD.,,,,,,,,,25 PRECIDIO COURT,,,BRAMPTON,ON,L6S6B7,226-820-7220,,,,,,,,,,,,B,,,,,,,2021-09-20 10:48:31.899509800,,,
S895,4949839 MANITOBA LTD.,,,UNIT 29 - 1530 REGENT AVE WEST,,,WINNIPEG,MB,R2C4J5,77 TERRACON PL,,,WINNIPEG,MB,R2J4B3,(204)294-1090,(204)781-1618,,,,,,,,,,,A,,,,,,,2021-10-15 11:52:32.626043800,,,
924,HENSALL FOODS INC.,,,,,,,,,210 WELLINGTON ST W,,,EXETER,ON,N0M1S2,(226)448-3883,,,,,,,,XF,,,,,D,,,,,,2025-02-28 09:19:18.5714556,,,
S539,NOVA COLD LOGISTICS ULC.,,,745 INTERMODAL DRIVE,,,BRAMPTON,ON,L6T5W2,2485 SURVEYOR ROAD,,,MISSISSAUGA,ON,L5N3J4,416-206-2878,,,,,,,,,,,"B,C,US","A,B",,,,,,,2021-10-18 11:28:18.135782500,,,
S545,NOVA COLD LOGISTICS ULC.,,,745 INTERMODAL DRIVE,,,BRAMPTON,ON,L6T5W2,535 SOVEREIGN ROAD,,,LONDON,ON,N5V5H4,416-206-2878,,,,,,,,,,,BUS,AB,R,,,,,,2021-10-18 11:44:34.186315300,,,
S708,1716505 ONTARIO INC,,,,,,,,,"120, RUE AIMÉ VINCENT",,,VAUDREUIL DORION,QC,J7V3X5,(613)676-3146,,,,,,,,,,,,A,,,,,,,2024-06-14 11:26:01.6619727,,,
869,LES GIBIERS CANABEC INC,,,,,,,,,115 RUE DES GRANDS LACS,,,SAINT-AUGUSTIN,QC,G3A2T9,418-843-0782,,,,,,,,xfg,,,,,,,,,,,2021-10-22 15:05:59.346884600,,,
931,HPP TOLLING FACILITY CANADA LTD.,,,,,,,,,1668 FOSTERS WAY,,,DELTA,BC,V3M 6S6,(604)817-1097,,,,,,,,fx,,,,,D,,,,,,2024-10-25 10:06:13.1395383,,,
624,SKILCOR FOOD PRODUCTS LTD.,,,,,,,,,175 NUGGETT COURT,,,BRAMPTON,ON,L6T5H4,(905)501-0111,,,,,,,,,,,,,L,,,,,EP2341,2026-09-08 14:36:40.1389286,624-2341-17874,2018-03-08,2019-03-31
625,LANDMARK POULTRY INC.,,EVEREST WHOLESALE MEAT,"7171 TORBRAM RD, UNIT C29-C31",,,MISSISSAUGA,ON,L4T3W4,3066 JARROW AVENUE,,,MISSISSAUGA,ON,L4X2C7,(905)671-8188,,,,,f,,,,,,,,,,,,,,2025-01-08 14:33:44.6846886,,,
394,THUNDER CREEK PORK INC.,,DONALD'S FINE FOODS : BRITCO PORK INC.,,,,,,,720 LILLOOET STREET WEST,,,MOOSE JAW,SK,S6H 8B4,(306) 693-7675,,,D,,X,,,X,,,,,ADFGIKOQSV,,,,,EP1388,2024-05-14 15:04:00.4361521,394-1388-17455,2018-02-07,2019-03-31
395,WALCOVIT INC.,,LES VIANDES WALCOVIT,,,,,,,"369, DES CORDILLERES",,,QUÉBEC,QC,G1C 4R9,(418) 666-3058,(418) 666-9590/F,,,,,,,x,,,,,ALQV,,,,,EP1389,2026-02-10 12:14:14.3272899,395-1389-17581,2018-02-16,2019-03-31
382,FOOD ROLL SALES (NIAGARA) LTD.,,,,,,,,,8464 EARL THOMAS AVE.,,,NIAGARA FALLS,ON,L2G 0B6,(905) 358-5747,(905) 358-5746/F,,,,f,,,f,,,,,AD,,,,,EP1378,2018-02-09,382-1378-17505,2018-02-09,2019-03-31
903,2805465 ONTARIO LTD,,MEAT & CO BOUTIQUE INC,,,,,,,145A BETHRIDGE RD,,,ETOBICOKE,ON,M9W1N4,(647)525-4123,,,,,fx,,,fx,,,B/US,,AD,,,,,,2025-01-14 14:40:09.5596804,,,
904,MACGREGORS MEAT & SEAFOOD LTD.,,44TH STREET; JOHN H. WICKSON MEAT & SEAFOOD; NORTH COUNTRY COOKHOUSE; NORTH COUNTRY MEAT & SEAFOOD,270 GARYRAY DRIVE,,,TORONTO,ON,M9L1P1,258 GARYRAY DRIVE,,,TORONTO,ON,M9L1P1,(647)459-3246,,,,,x,,,x,,,,,,,,,,,2021-03-09 10:08:34.835382700,,,
S702,ENTREPOT DU NORD INC.,,,,,,,,,1000 BOUL. STE-MARIE,,,LAVAL,QC,H7J 3N3,(450) 622-4860,(450) 622-0559/F,(450) 622-3958/I,,,,,,,,,BC/US,AB,HRSI,Y,,,,EP1137,2018-02-21,S702-1137-17671,2018-02-21,2019-03-31
S704,DISTRIBUTION RÉFRIGÉRÉE TAS INC./TAS REFRIGERATED DISTRIBUTION INC.,,,,,,,,,4665 BOUL DE LA COTE VERTU,,,ST-LAURENT,QC,H4S 1C8,(514) 337-4665,(514) 337-4660/F,1 (888) 963-8273,,,,,,,,,B/US,A,,,,,,EP2286,2018-03-09,S704-2286-17907,2018-03-09,2019-03-31
S108,KLONDIKE COLD STORAGE LTD.,,,,,,,,,5775-272ND STREET,,,LANGLEY,BC,V4W 0B1,(604)-626-4019,(604)-626-4061/F,,,,,,,,,,B/US,A,S,,,,,EP2472,2018-01-26,S108-2472-17335,2018-01-26,2019-03-31
787,MOUNTAIN TOP FOODS LTD.,,,,,,,,,2301-18 AVENUE,,,NANTON,AB,T0L 1R0,(403)646-0038,,,,,,,,"f,x",,,B/US,,D,,,,,,2021-09-10 11:48:13.130426500,,,
789,EAT WELL ETHNIC FOODS INC.,,,,,,,,,110 12791 CLARKE PLACE,,,RICHMOND,BC,V6V 2H9,(604) 244-9858,(604) 244-9185/F,,,,,,,fx,,,,,D,,,,,EP2542,2018-12-07,789-2542-17305,2018-01-22,2019-03-31
790,HERSHEY CANADA INC.*,,,"5750 EXPLORER DRIVE, SUITE 400",,,MISSISSAUGA,ON,L4W 0B1,3 FERRERO BLVD.,,,BRANTFORD,ON,N3V 1G3,(905) 602-9200,(905) 602-8766F,,,,,,,,Y,,,,,,,,,EP2562,2018-04-03,790-2562-16914,2017-03-02,2018-03-31
791,JOWETT FARMS CORPORATION,,,,,,,,,79 PENNER DRIVE,,,BLUMENORT,MB,R0A0C0,(204)326-3252,,,d,,x,,,,,,B/US,,"A,D",Y,,,,,2021-09-27 11:02:59.420674400,,,
792,JNK FOOD MANAGEMENT LTD,,,,,,,,,1325 DERWENT WAY,,,DELTA,BC,V3M5V9,(604) 528 9900,F (604) 528 9802,,,,XF,,,XF,,,,,DL,,,,,,2024-04-15 10:05:34.6105793,,,
793,998565 ONTARIO LTD.,,SCHINKEL'S LEGACY,19 MCGREGOR PLACE,,,CHATHAM,ON,N7M 5J4,19 MCGREGOR PLACE,,,CHATHAM,ON,N7M 5J4,(519) 351-0818,,,,,fx,,,fx,,,,,D,,,"    TIM SCHINKEL",,EP2565,2019-01-29,793-2565-17886,2018-03-08,2019-03-31
794,"HARMONY BEEF COMPANY, LTD.",,,,,,,,,260036 RANGE ROAD 291,,,ROCKY VIEW COUNTY,AB,T4A 0T8,(970)301-8285,,,AI,,X,,,,,,B/US,,DLACV,,,,,,2025-11-06 08:09:07.20118,,,
795,LES SPECIALITES PRODAL (1975) LTEE,,,,,,,,,"1312G, RUE ST-GEORGES",,,ST-BERNARD,QC,G0S 2G0,,,,,,,,,x,,,,,AD,,,,,EP2566,2018-02-14,795-2566-17540,2018-02-14,2019-03-31
876,2213256 ONTARIO LTD.,,FRESHOUSE FOODS LTD.,,,,,,,71 TODD ROAD,,,GEORGETOWN,ON,L7G4R8,,,,,,FX,,,FX,,,,,ADF,,,,,,2026-07-28 12:22:59.6712735,,,
459,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.,,"ALIMENT CAPPOLA, ALIMENTS MINA, BON APPETIT MEATS, CANA FOODS, CAPPOLA FOOD, CLEARVIEW TURKEY FARMS, COLD SPRINGS FARM, DEVOUR JERKY, DEVOUR MEATS, EMBALLAGES DE VIANDE HUB, EMBALLAGES LARSEN, FERM COLD SPRINGS, FLEETWOOD SAUSAGE, GREENFIELD FOOD PRODUCTS, GREENFIELD, GREENFIELD NATURAL MEATS, GREENFIELD NATURAL MEAT CO., HORIZON POULTRY, HUB MEAT PACKERS, HUB MEATS, HYGRADE FOODS, J.M. SCHNEIDER, LARSEN PACKERS, LES ALIMENTS DE CONSOMMATION MAPLE LEAF, LES ALIMENTS MAPLE LEAF, LES ALIMENTS SCHNEIDER, LES ALIMENTS SHOPSY'S, LES VIANDES BON APPETIT, LES VIANDES DEVOUR, LES VIANDES HUB, LES VIANDES MAPLE LEAF, LES VOLAILLES MAPLE LEAF, MAPLE LEAF AGRI-FARMS, MAPLE LEAF CONSUMER FOODS, MAPLE LEAF FOOD SERVICE, MAPLE LEAF FOODS, MAPLE LEAF FRESH FOODS, MAPLE LEAF MEATS, MAPLE LEAF PORK, MAPLE LEAF POULTRY, MAPLE LEAF PREPARED MEATS, MINA, MINA FOODS, MITCHELL'S GOURMET FOODS, MOTHER JACKSON'S OPEN KITCHENS, PARADIGM FOOD GROUP, PASTA EXCELLENTE FOODS, PERFECT MANITOBA PULLETS, PRIME POULTRY, PORC MAPLE LEAF, PRODUCEURS THAMES VALLEY, PRODUITS ALIMENTAIRES GREENFIELD, SCHNEIDER FOODS, SERVICE ALIMENTAIRE MAPLE LEAF, SHOPSY'S FOODS, TEND-R-FRESH POULTRY FARMS, THAMES VALLEY PROCESSORS, VANCOUVER FANCY MEATS, VIANDES NATURELLES GREENFIELD, VOLAILLE MAPLE LEAF",6985 FINANCIAL DRIVE,,,MISSISSAUGA,ON,L5N 0A1,2265 DREW ROAD,,,MISSISSAUGA,ON,L5S 1E5,(905) 677-7722,(905) 677-6440/F,Ext. 234/I,,fx,,,,x,,,,,AD,,,,,EP1443,2018-02-26,459-1443-17736,2018-02-26,2019-03-31
777,GLOBAL FREEZER SERVICES INC.*,,,,,,,,,"4960 WALKER ROAD, UNIT 1",,,TECUMSEH,ON,N9A 6J3,(519) 737-6661,(519) 737-6226/F,,,,,,,,Y,,BC/US,,D,,,,,EP2492,2018-04-03,777-2492-16911,2017-03-02,2018-03-31
411,R.F.G.  CANADA INC.,,RICCI FOOD GROUP OF CANADA,,,,,,,50 CLAIREPORT CRESCENT,,,TORONTO,ON,M9W 6P4,(416) 798-9900,(416) 798-9900/I,(416) 798-1459/F,,,,,,fx,,,,,D,,,,,EP2018,2018-02-19,411-2018-17622,2018-02-19,2019-03-31
413,NORTHFORK BISON DISTRIBUTIONS INC.,,,,,,,,,8715 RUE LAFRENAIE,,,SAINT-LÉONARD,QC,H1P2B6,(514) 643-4447,,,,,XFG,,,X,,,,,ADFGKRS,,,,,EP1404,2025-06-17 08:47:15.1615413,413-1404-17607,2018-02-16,2019-03-31
407,VITTO BRAND FOODS LIMITED,,,,,,,,,934 CAMBRIAN HEIGHTS DRIVE,,,SUDBURY,ON,P3C 5L8,(705) 560-6300,(705) 560-3962/F,,,,,,,fx,,,,,,,,,,EP1399,2018-02-21,407-1399-17675,2018-02-21,2019-03-31
415,9168-9406 QUEBEC INC.,,CUISINE AMIR,1033 AUTOROUTE CHOMEDEY (A13),,,LAVAL,QC,H7W 4V3,1033 AUTOROUTE CHOMEDEY(A13),,,LAVAL,QC,H7W 4V3,(450) 668-5888,(450) 668-0278,,,,fx,,,fx,,,,,D,,,,,EP1405,2018-02-14,415-1405-17554,2018-02-14,2019-03-31
S710,CONESTOGA COLD STORAGE LIMITED,,"ENTREPOSAGE FRIGORIFIQUE 
CONESTOGA (QUÉBEC)",299 TRILLIUM DRIVE,,,KITCHENER,ON,N2E 1W9,"3051, RUE HENRY FORD",,,VAUDREUIL-DORION,QC,J7V 0A1,(519)748-5415,,,,,,,,,,,B/US,A,R,,,,,EP2370,2025-02-27 08:12:15.5575211,S710-2370-17760,2018-02-26,2019-03-31
S712,C&C PACKING LIMITED PARTNERSHIP,,EMBALLAGES C&C - C&C PACKING,,,,,,,"6800, BOUL. DES GRANDES PRAIRIES",,,SAINT-LÉONARD,QC,H1P 3P3,(514) 939-2273,(514) 939-4344/F,,,,,,,,,,B/US,A,,,,,,EP2325,2018-07-16,S712-2325-18012,2018-07-16,2019-03-31
S716,DARLING INTERNATIONAL CANADA INC.,,,1700-1 GERMAIN STREET,,,ST-JOHN,NB,E2L 4V1,"605, 1ERE AVENUE",,,SAINTE-CATHERINE,QC,J5C 1C5,(450) 632-3250,(450) 632-4703/F,,,,,,,,,,,AB,,,,,,EP1174,2018-02-26,S716-1174-17761,2018-02-26,2019-03-31
572,CHARCUTERIE L. FORTIN LIMITÉE,,PRODUITS L.F. : PHILIPS MEAT : VIANDES PHILIPS : PHILIPS FOODS : ALIMENTS PHILIPS,"5371, AVENUE DU PONT NORD",,,ALMA,QC,G8E 1T7,"849, AVENUE BOMBARDIER",,,ALMA,QC,G8B 6H2,(418) 347-3365,,,,,,,,X,,,,,AD,,,,,EP2079,2025-03-07 09:04:57.8465527,572-2079-17589,2018-02-16,2019-03-31
638,CENTENNIAL FOODSERVICE,,,,,,,,,12759 VULCAN WAY,UNIT 108,,RICHMOND,BC,V6V 3C8,(604) 273-5261,(604) 270-6310/F,,,,fx,,,fx,,,,,DL,,,,,EP2357,2018-01-25,638-2357-17322,2018-01-25,2019-03-31
564,KETO BUNS LTD.,,,,,,,,,157 STRONACH CRESCENT,,,LONDON,ON,N5V3G5,(519)659-2020,,,,,,,,X,,,,,D,,,,,,2024-12-18 10:46:47.9637802,,,
640,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.,,MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF; MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMATION MAPLE LEAF; MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF; MAPLE LEAF PORK/PORC MAPLE LEAF; MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF; SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER; J.M. SCHNEIDER; MITCHELL'S GOURMET FOODS; HUB MEAT PACKERS; LARSEN PACKERS; COLD SPRINGS FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS,"30 ST. CLAIR AVENUE WEST, SUITE 1500",,,TORONTO,ON,M4V 3A2,97 WALKER DRIVE,,,BRAMPTON,ON,L6T 4Z3,(905) 791-9277,(905) 791-3927/F,,,,,,,fx,,,,,AD,,,,,EP2371,2018-02-26,640-2371-17739,2018-02-26,2019-03-31
S527,FRESHSTONE BRANDS INC.*,,,"350 CREDITSTONE ROAD, 103",,,CONCORD,ON,L4K 3Z2,"84 CITATION ROAD, 11 & 12",,,VAUGHAN,ON,L4K 2X2,(905) 695-0641,(905) 760-9443/F,,,,,,,,,,,AB,,,,,,EP2528,2018-02-28,S527-2528-17813,2018-02-28,2019-03-31
660,CONCORD PREMIUM MEATS LTD.,,"BOUCHERIE-CHARCUTERIE ST-EUSTACHE, COMPAGNIE ANGUS RIVIERES NOIRES/BLACK RIVER ANGUS COMPANY, DELI PARC CENTRAL/CENTRAL PARK DELI, CONNIE'S KITCHEN, FRESH ADDITIONS, GO SNACKS, LES ALIMENTS SKOULAKIS, MARCANGELO, MEZZE, SKOULAKIS, SMOKIN'S JOE'S PREMIUM BBQ",160 RUE WILLIAMS,,,ST-EUSTACHE,QC,J7R 0A4,160 RUE WILLIAMS,,,ST-EUSTACHE,QC,J7R 0A4,(450)623-7676,,,,,fx,,,fx,,,,,AD,,,,,,2024-05-30 07:22:34.3603397,,,
662,9480-7427 QUÉBEC INC.,,,,,,,,,"700, RUE GAUDETTE",,,SAINT-JEAN-SUR-RICHELIEU,QC,J3B1L7,(514)241-6756,,,,,,,,FX,,,,,D,,,,,,2024-09-12 15:18:33.1466425,,,
387A,TRANSPORT LOGI-PRO INC.,,,,,,,,,9001 RUE DU PARCOURS,,,ANJOU,QC,H1J 2Y1,(514) 493-1717,(514) 493-1129/F,,,,,,,,Y,,,,D,,,,,EP2057,2018-02-26,387A-2057-17781,2018-02-26,2019-03-31
652,ROSSDOWN NATURAL FOODS LTD.,,"BRADNER ORGANIC FARMS, THOMAS REID FARMS",,,,,,,2325 BRADNER RD.,,,ABBOTSFORD,BC,V4X 1E2,(604) 856-6698,(604) 856-4909/F,,fi,,f,,,f,,,,,ADG,,,,,EP2377,2024-08-06 13:01:29.3477814,652-2377-17405,2018-02-02,2019-03-31
S231,NOVA COLD LOGISTICS ULC,,,10401 46TH STREET SE,EASTLAKE INDUSTRIAL CENTRE,,CALGARY,AB,T2C 2X9,10401 46 STREET SE,EASTLAKE INDUSTRIAL CENTRE,,CALGARY,AB,T2C 2X9,(403) 236-5557,(403) 236-5158/F,,,,,,,,,,B/US,A,,,,,,EP2421,2018-02-28,S231-2421-17821,2018-02-28,2019-03-31
774,GOODMARK POULTRY (TORONTO) INC.,,MIKE WHOLESALE MEAT,,,,,,,2445 LUCKNOW DRIVE,,,MISSISSAUGA,ON,L5S 1H9,(416)213-1346,,,,,FX,,,FX,,,,,AD,,,,,,2021-05-27 08:26:21.197260200,,,
231,CAPITAL PACKERS INC.,,CAPITAL FINE MEATS,,,,,,,12907 - 57TH STREET,,,EDMONTON,AB,T5A0E7,(780) 476-1391,,(780) 475-7199,,,x,,,fx,,,,,,,,,,,2020-01-29 09:27:57.221917100,,,
281,SUNRISE POULTRY PROCESSORS LTD.,,DUNN-RITE FOOD PRODUCTS,,,,,,,199 HAMELIN STREET,,,WINNIPEG,MB,R3T0P2,(204) 452-8379,,,"f,i",,f,,,f,,,,,ADV,,,,,,2020-02-27 13:59:44.263781200,,,
664,"SYSCO CANADA, INC.",,BUCKHEAD VANCOUVER,,,,,,,620 MALKIN AVENUE,,,VANCOUVER,BC,V6A 2K2,778-330-3506,,,,,FX,,,FX,,,,,D,,,,,,2023-12-11 15:39:50.044279900,,,
494,MCALPINE'S CUSTOM MEATS LIMITED,,,,,,,,,445 ENFIELD ROAD,,,BURLINGTON,ON,L7T 2X5,(905)634-7288,,,,,fx,,,fx,,,,,DF,,,,,,2020-01-23 09:59:44.594620600,,,
677,TRI R FOODS INTERNATIONAL INC.,,TRI R FOODS INTERNATIONAL INC.,,,,,,,5246 TIMBERLEA BLVD.,,,MISSISSAUGA,ON,L4W2S5,(905)361-5604,,,,,fx,,,fx,,,B/US,,ADVF,,,,,,2024-02-23 12:18:47.036845000,,,
833,FERME DE GIBIER EL RANCHO (2016) LTEE*,,"EL RANCHO GAME FARM (2016) LTD.
",,,,,,,"156, 4E RANG",,,SAINTE-HÉLENE DE BAGOT,QC,J0H 1M0,(450) 771-1830/T,(450) 252-8994/F,(   )    -,hi,,,,,,,,,,,,,CAILLE,,EP2204,2018-02-28,588-2204-15781,2015-08-19,2016-03-31
